epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,174.38,0.69545,0.66143,0.87409,0.94103,0.97032,0.995,0.6844,1.09176,1.11922,1.06898,0.000957358,0.000957358,0.000957358
131,175.703,0.61733,0.62415,0.84006,0.94103,0.97032,0.995,0.6844,1.09176,1.11922,1.06898,0.000951857,0.000951857,0.000951857
132,177.053,0.67453,0.62294,0.83259,0.98505,0.97296,0.995,0.71131,0.99479,0.93459,1.05755,0.000946356,0.000946356,0.000946356
133,178.365,0.63464,0.57771,0.83088,0.98505,0.97296,0.995,0.71131,0.99479,0.93459,1.05755,0.000940855,0.000940855,0.000940855
134,179.725,0.68458,0.588,0.84463,0.98849,0.99648,0.995,0.70113,1.0268,0.75209,1.07942,0.000935354,0.000935354,0.000935354
135,181.037,0.6625,0.57612,0.81315,0.98849,0.99648,0.995,0.70113,1.0268,0.75209,1.07942,0.000929853,0.000929853,0.000929853
136,182.377,0.62816,0.56579,0.80801,0.98843,0.99786,0.995,0.67332,1.1773,0.68023,1.144,0.000924352,0.000924352,0.000924352
137,183.717,0.65793,0.57305,0.83015,0.98843,0.99786,0.995,0.67332,1.1773,0.68023,1.144,0.00091885,0.00091885,0.00091885
138,185.019,0.65308,0.57269,0.82054,0.99087,0.98374,0.995,0.68601,1.12906,0.64183,1.12307,0.000913349,0.000913349,0.000913349
139,186.342,0.6727,0.57266,0.82085,0.99087,0.98374,0.995,0.68601,1.12906,0.64183,1.12307,0.000907848,0.000907848,0.000907848
140,187.704,0.68754,0.59012,0.85253,0.9576,0.99146,0.995,0.70096,0.98931,0.69143,1.05401,0.000902347,0.000902347,0.000902347
141,189.031,0.74607,0.63345,0.84946,0.9576,0.99146,0.995,0.70096,0.98931,0.69143,1.05401,0.000896846,0.000896846,0.000896846
142,190.38,0.69144,0.61596,0.8273,0.98705,0.97683,0.995,0.71758,0.98399,0.84512,1.05388,0.000891345,0.000891345,0.000891345
143,191.691,0.60238,0.55753,0.80123,0.98705,0.97683,0.995,0.71758,0.98399,0.84512,1.05388,0.000885844,0.000885844,0.000885844
144,193.011,0.69083,0.605,0.85957,0.91376,0.97339,0.99045,0.69058,1.0625,0.94216,1.07302,0.000880343,0.000880343,0.000880343
145,194.332,0.63732,0.60017,0.83495,0.91376,0.97339,0.99045,0.69058,1.0625,0.94216,1.07302,0.000874842,0.000874842,0.000874842
146,195.666,0.68033,0.58949,0.82349,0.92423,0.97747,0.995,0.67599,1.07282,0.83091,1.08119,0.00086934,0.00086934,0.00086934
147,196.989,0.67967,0.59982,0.83932,0.92423,0.97747,0.995,0.67599,1.07282,0.83091,1.08119,0.000863839,0.000863839,0.000863839
148,198.347,0.70713,0.59068,0.82626,0.95549,1,0.995,0.66077,1.07111,0.67034,1.08112,0.000858338,0.000858338,0.000858338
149,199.669,0.62641,0.54903,0.82917,0.95549,1,0.995,0.66077,1.07111,0.67034,1.08112,0.000852837,0.000852837,0.000852837
150,201.026,0.67218,0.56431,0.82256,0.98801,1,0.995,0.67917,1.06991,0.5557,1.09338,0.000847336,0.000847336,0.000847336
151,202.353,0.70887,0.58291,0.8501,0.98801,1,0.995,0.67917,1.06991,0.5557,1.09338,0.000841835,0.000841835,0.000841835
152,203.69,0.64134,0.53814,0.82225,0.98635,1,0.995,0.72939,1.00119,0.54255,1.0575,0.000836334,0.000836334,0.000836334
153,205.014,0.62948,0.54291,0.79278,0.98635,1,0.995,0.72939,1.00119,0.54255,1.0575,0.000830833,0.000830833,0.000830833
154,206.366,0.62054,0.56218,0.82467,0.98362,1,0.995,0.6957,1.04532,0.53416,1.06232,0.000825332,0.000825332,0.000825332
155,207.679,0.60144,0.5785,0.82949,0.98362,1,0.995,0.6957,1.04532,0.53416,1.06232,0.000819831,0.000819831,0.000819831
156,209.008,0.58834,0.53317,0.80483,0.97745,1,0.995,0.70469,1.04539,0.54063,1.04842,0.000814329,0.000814329,0.000814329
157,210.318,0.62684,0.55295,0.81151,0.97745,1,0.995,0.70469,1.04539,0.54063,1.04842,0.000808828,0.000808828,0.000808828
158,211.656,0.56643,0.51827,0.81473,0.97652,1,0.995,0.7581,1.00512,0.52349,1.03354,0.000803327,0.000803327,0.000803327
159,212.988,0.66942,0.53662,0.81188,0.97652,1,0.995,0.7581,1.00512,0.52349,1.03354,0.000797826,0.000797826,0.000797826
160,214.352,0.6875,0.57384,0.82524,0.97112,1,0.995,0.74419,0.99847,0.53739,1.03018,0.000792325,0.000792325,0.000792325
161,215.654,0.6262,0.53866,0.81937,0.97112,1,0.995,0.74419,0.99847,0.53739,1.03018,0.000786824,0.000786824,0.000786824
162,216.979,0.65142,0.55165,0.83301,0.96266,1,0.995,0.71117,1.03786,0.56767,1.03545,0.000781323,0.000781323,0.000781323
